id|job_id|job_name|run_id|action_id|status|attempts|max_attempts|last_error_code|created_at|updated_at
6878948d-bbf9-4545-b186-4757d794be69|petpack:4215f8f691196b21f22f46f59e54fc1d9d9cb474656a8a64cdc8a89904fb47d8|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|roll|succeeded|1|3||2026-08-17 15:52:10.910583+00|2026-08-17 15:52:11.006686+00
5f7878e0-74b7-42e7-82b5-65efc9623248|petpack:f59f484dc3b3334a40e60a65d61bb92ee31dcefb15b0f5577036421d00653f77|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|hover-attention|succeeded|1|3||2026-08-17 15:52:10.915601+00|2026-08-17 15:52:11.012308+00
3e1facdd-d9e9-4596-b848-b9d851ffcc4e|petpack:3cd65c82d0d1419615853ca224df5506f92b3e07cabb6f37033c9e6cf376a7a5|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-loop|succeeded|1|3||2026-08-17 15:52:10.915753+00|2026-08-17 15:52:11.017147+00
facd7ba1-4ea5-4a2e-a08a-3b6c251151af|petpack:2953dac9fbc016fba2e188c4e7317d1753553079925de000d4f9ed27ce0af917|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|idle|succeeded|1|3||2026-08-17 15:52:26.956899+00|2026-08-17 15:52:27.060614+00
92ab13df-f275-4591-afb7-d37080aac4fc|petpack:f8e3d71e839050d03ac1ccb7ebdc671bef51aa7e4a2735808820b196994978cd|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|roll|succeeded|1|3||2026-08-17 15:52:26.972747+00|2026-08-17 15:52:27.152874+00
f657d6f7-05ac-4043-860e-466468c7982f|petpack:3d83b9f10a35b3162403cfd12520658348bab61908d25049c069a6986b7068a3|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|stretch|succeeded|1|3||2026-08-17 15:52:26.996019+00|2026-08-17 15:52:27.110229+00
6b9e4c6e-103b-4104-9689-fcc7ea6886be|petpack:3f4d9e396fdbbd444f0b508a7290d21b15462135a2b97a3d03a4352502f9af50|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sneeze|succeeded|1|3||2026-08-17 15:52:26.997655+00|2026-08-17 15:52:27.098646+00
550cf315-e965-4ad9-9c81-9dd58d360512|petpack:724a38f4c304c03c8759476c83ce27370cba1754afbdd869ac23de469632d260|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|hover-attention|succeeded|1|3||2026-08-17 15:52:27.004083+00|2026-08-17 15:52:27.109745+00
11f6a74c-08b2-443d-927f-2a72550796a9|petpack:8ddeaa785e1a8e178428c6c91173a144dea86afb0ca8b7eabfcb8674ecd9e2a5|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-transition|succeeded|1|3||2026-08-17 15:52:27.005731+00|2026-08-17 15:52:27.112048+00
2e7daf20-552b-419e-a5b4-3787a9383c6d|petpack:c54e384414c2055634f6367d9d3fef2810ea03b189fbede066e4897186bd522f|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-loop|succeeded|1|3||2026-08-17 15:52:27.005803+00|2026-08-17 15:52:27.107665+00
1c0190e9-9c9d-411d-abfb-7d67db14d253|petpack:a772802267494db638993e739a421fcd322b6d16a1faef5a4e1b743dfb65769e|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|stretch|succeeded|1|3||2026-08-17 15:52:43.045942+00|2026-08-17 15:52:43.15784+00
9be9f3a9-98ae-4eda-a136-dfb23da9f10e|petpack:b7dd6e1606deaa0be4c6647e71e7a261e745a580abc780e2f69dfacfab02d1d1|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-loop|succeeded|1|3||2026-08-17 15:52:43.056416+00|2026-08-17 15:52:43.164089+00
5a90a729-1be5-49d3-a1fb-492d40308472|petpack:56c1fb028c014ce0bf2817c430b6bef3683158ed3788f50b0d8fd0ae8d06d97b|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|idle|succeeded|1|3||2026-08-17 15:52:43.074316+00|2026-08-17 15:52:43.166315+00
845b0c9c-8a9d-4c7e-b6c9-eaf62308c55c|petpack:08a6feffc9e3ef5e325eb87139f1a3ad236b34a2f14d284b58e0dd382fd9c606|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sneeze|succeeded|1|3||2026-08-17 15:52:43.080596+00|2026-08-17 15:52:43.189783+00
d9e36d76-7cf8-4807-a23b-628bd562a7aa|petpack:43f61a985b00c0e6939fc8c96a5cd94e2b30a7e7166d808821b8a8dfec3d783f|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-transition|succeeded|1|3||2026-08-17 15:52:43.083428+00|2026-08-17 15:52:43.178529+00
fcc5500a-0394-4d06-89f2-c8f9f961fb80|petpack:ae83212fb811f9b97a7c329b6ecb8901570e611b39bfa3759372641cfa7c7baf|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|hover-attention|succeeded|1|3||2026-08-17 15:52:43.08393+00|2026-08-17 15:52:43.178694+00
89ae77d5-37d8-453d-a75f-48b290a95e92|petpack:df586792e11fc49270e93f92bcdd2504deb8a5c71caafaa1bf71064075f1301c|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|roll|succeeded|1|3||2026-08-17 15:52:43.092687+00|2026-08-17 15:52:43.182711+00
000070f9-f902-499c-8d73-73bebc006194|petpack:c724bf8ad86266550648b496c0849caac059067ac9b06b7ff9fe516afb0aad83|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|stretch|succeeded|1|3||2026-08-17 15:52:59.134015+00|2026-08-17 15:52:59.244134+00
8fda1ab0-e971-4cff-bc88-01da1faf56d7|petpack:17b0ccc6180e04eafcd00bde21d6b12a38aabf585bc57a76209315be7438d1d8|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-transition|succeeded|1|3||2026-08-17 15:52:59.148227+00|2026-08-17 15:52:59.253493+00
9bf22ae0-2b2c-4e21-b27c-856edf2324d6|petpack:270844fc68086cf7316b4002cc494292191a2e2bfb933675f2eb7210ad17d648|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-loop|succeeded|1|3||2026-08-17 15:52:59.157579+00|2026-08-17 15:52:59.254928+00
588439a0-f5a2-4b6f-ac5f-357924368603|petpack:aaa590a7761034934d1a159992404a45f337bc301079709c3929f0747932be42|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|idle|succeeded|1|3||2026-08-17 15:52:59.159427+00|2026-08-17 15:52:59.259314+00
feed1d02-2736-4a37-b079-6114546adf38|petpack:d88ebc8d9b21cb6e4cbdaaf9173d3af68b2d8303f7041ef374f7c0850e111a0c|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|hover-attention|succeeded|1|3||2026-08-17 15:52:59.168363+00|2026-08-17 15:52:59.261689+00
d0a83473-c559-4c04-811c-1c93e4584abc|petpack:a1aa6af7b272173c67c1201497e1e716713667d3fc094b13856f3b1a98799f9b|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|roll|succeeded|1|3||2026-08-17 15:52:59.17728+00|2026-08-17 15:52:59.891684+00
